"Gemiddelde bevolking; geslacht, leeftijd, burgerlijke staat en regio",,,
,Onderwerpen,Totale bevolking,Totale bevolking
,Onderwerpen,Mannen en Vrouwen,Mannen en Vrouwen
Totaal alle leeftijden,Tynaarlo,32531.5,32687
Totaal alle leeftijden,Tytsjerksteradiel,31965,32017
Totaal alle leeftijden,Uden,41001,41168
Totaal alle leeftijden,Uitgeest,13262.5,13325.5
Totaal alle leeftijden,Uithoorn,28574.5,28956
Totaal alle leeftijden,Urk,19587.5,19846
Totaal alle leeftijden,Utrecht (gemeente),331170,336571.5
Totaal alle leeftijden,Utrechtse Heuvelrug,48067,48344.5
Totaal alle leeftijden,Vaals,9689.5,9663
Totaal alle leeftijden,Valkenburg aan de Geul,16646.5,16568
Totaal alle leeftijden,Valkenswaard,30284.5,30248
Totaal alle leeftijden,Veendam,27743.5,27581
Totaal alle leeftijden,Veenendaal,63346,63628
Totaal alle leeftijden,Veere,21897,21943
Totaal alle leeftijden,Veghel,37609,37916
Totaal alle leeftijden,Veldhoven,44160.5,44241.5
Totaal alle leeftijden,Velsen,67193,67307
Totaal alle leeftijden,Venlo,100482,100453.5
Totaal alle leeftijden,Venray,43157,43246.5
Totaal alle leeftijden,Vianen,19614,19572.5
Totaal alle leeftijden,Vlaardingen,71313,71726.5
Totaal alle leeftijden,Vlagtwedde,16058.5,16317
Totaal alle leeftijden,Vlieland,1106.5,1093
Totaal alle leeftijden,Vlissingen,44464.5,44468
Totaal alle leeftijden,Voerendaal,12425.5,12439.5
Totaal alle leeftijden,Voorschoten,25050.5,25180.5
Totaal alle leeftijden,Voorst,23840,23948.5
Totaal alle leeftijden,Vught,25745.5,25913
Totaal alle leeftijden,Waalre,16819.5,16948.5
Totaal alle leeftijden,Waalwijk,46605.5,46867
Totaal alle leeftijden,Waddinxveen,25582.5,25864.5
Totaal alle leeftijden,Wageningen,37607.5,37811.5
Totaal alle leeftijden,Wassenaar,25703,25808
Totaal alle leeftijden,Waterland,17138.5,17223.5
Totaal alle leeftijden,Weert,48817.5,49007
Totaal alle leeftijden,Weesp,18260,18460
Totaal alle leeftijden,Werkendam,26419.5,26489.5
Totaal alle leeftijden,West Maas en Waal,18494.5,18631.5
Totaal alle leeftijden,Westerveld,19009,19012.5
Totaal alle leeftijden,Westervoort,15065,14996.5
Totaal alle leeftijden,Westland,103771.5,104631
Totaal alle leeftijden,Weststellingwerf,25489.5,25522.5
Totaal alle leeftijden,Westvoorne,14023.5,14140
Totaal alle leeftijden,Wierden,23891.5,23913
Totaal alle leeftijden,Wijchen,40964.5,40850
Totaal alle leeftijden,Wijdemeren,23181.5,23225.5
Totaal alle leeftijden,Wijk bij Duurstede,23132.5,23303
Totaal alle leeftijden,Winsum,13812,13703.5
Totaal alle leeftijden,Winterswijk,28929,28958
Totaal alle leeftijden,Woensdrecht,21632.5,21663
Totaal alle leeftijden,Woerden,50604,50896
Totaal alle leeftijden,De Wolden,23622,23691.5
Totaal alle leeftijden,Wormerland,15758.5,15702
Totaal alle leeftijden,Woudenberg,12454.5,12518.5
Totaal alle leeftijden,Woudrichem,14406.5,14453
Totaal alle leeftijden,Zaanstad,151008,151942
Totaal alle leeftijden,Zaltbommel,27270,27450.5
Totaal alle leeftijden,Zandvoort,16633.5,16742
Totaal alle leeftijden,Zederik,13686.5,13717.5
Totaal alle leeftijden,Zeevang,6323.5,6273.5
Totaal alle leeftijden,Zeewolde,21696.5,22003.5
Totaal alle leeftijden,Zeist,61445.5,61949.5
Totaal alle leeftijden,Zevenaar,32274,32267
Totaal alle leeftijden,Zoetermeer,123793,124066
Totaal alle leeftijden,Zoeterwoude,8094.5,8116.5
Totaal alle leeftijden,Zuidhorn,18754,18763.5
Totaal alle leeftijden,Zuidplas,40831.5,40854
Totaal alle leeftijden,Zundert,21381,21425.5
Totaal alle leeftijden,Zutphen,47006.5,46923
Totaal alle leeftijden,Zwartewaterland,22166.5,22222
Totaal alle leeftijden,Zwijndrecht,44524,44477.5
Totaal alle leeftijden,Zwolle,123510,124378.5
"� Centraal Bureau voor de Statistiek, Den Haag/Heerlen 9-9-2016",,,
