,regio,count_2014,count_2015,uitgaven_ov,aantal_verdachten,toename_bevolking
201,Moerdijk,36772.5,36789.0,1242000.0,170.0,0.0004487048745665919
202,Molenwaard,29012.5,29030.0,241000.0,150.0,0.0006031882809133994
203,Montferland,35068.5,35161.5,440000.0,200.0,0.0026519526070405064
204,Montfoort,13655.5,13727.5,86000.0,60.0,0.005272600783567061
205,Mook en Middelaar,7779.0,7758.5,120000.0,30.0,-0.002635300167116596
206,Naarden,17207.0,17303.0,502000.0,130.0,0.005579124774800953
207,Neder-Betuwe,22641.5,22888.5,322000.0,150.0,0.010909171212154671
208,Nederweert,16763.5,16784.5,352000.0,110.0,0.0012527216869985384
209,Nieuwegein,61151.0,61506.5,3175000.0,650.0,0.005813478111559909
210,Nieuwkoop,27109.0,27273.5,1092000.0,160.0,0.006068095466450257
211,Nijkerk,40754.0,41034.5,340000.0,260.0,0.006882759974481033
212,Nijmegen,169486.5,171372.5,5225000.0,1780.0,0.011127729937192637
213,Noord-Beveland,7481.5,7427.0,73000.0,80.0,-0.007284635434070708
214,Noordenveld,31112.0,31088.0,426000.0,200.0,-0.0007714065312419646
215,Noordoostpolder,46417.5,46459.0,1136000.0,320.0,0.0008940593526148543
216,Noordwijk,25647.5,25682.0,1573000.0,260.0,0.0013451603470123793
217,Noordwijkerhout,16009.5,16101.5,539000.0,110.0,0.005746587963396733
218,"Nuenen, Gerwen en Nederwetten",22620.0,22691.5,337000.0,120.0,0.003160919540229885
219,Nunspeet,26712.0,26789.5,381000.0,150.0,0.0029013177598083257
220,Nuth,15539.0,15460.0,44000.0,100.0,-0.005083982238239269
221,Oegstgeest,22953.5,23103.0,385000.0,150.0,0.006513167926460017
222,Oirschot,18029.5,18139.0,261000.0,80.0,0.006073379738761474
223,Oisterwijk,25767.0,25783.5,1369000.0,120.0,0.0006403539410874374
224,Oldambt,38490.0,38324.0,535000.0,380.0,-0.004312808521693946
225,Oldebroek,22918.0,23052.5,334000.0,130.0,0.005868749454577188
226,Oldenzaal,32128.5,32115.0,700000.0,150.0,-0.0004201876838321117
227,Olst-Wijhe,17804.5,17862.5,232000.0,70.0,0.003257603414867028
228,Ommen,17351.0,17518.5,138000.0,60.0,0.009653622269609821
229,Onderbanken,7873.5,7867.5,215000.0,50.0,-0.0007620499142693847
230,Oost Gelre,29616.5,29535.0,940000.0,170.0,-0.0027518444110546485
231,Oosterhout,53755.0,53905.5,2202000.0,510.0,0.0027997395591107806
232,Ooststellingwerf,25644.5,25594.0,145000.0,180.0,-0.0019692331689056134
233,Oostzaan,9163.0,9345.5,254000.0,50.0,0.019917057732183784
234,Opmeer,11334.5,11318.5,225000.0,50.0,-0.0014116193921213992
235,Opsterland,29861.0,29844.5,332000.0,130.0,-0.0005525601955728208
236,Oss,85062.0,89901.0,2373000.0,910.0,0.05688791704874092
237,Oud-Beijerland,23708.5,23776.5,262000.0,130.0,0.0028681696437986375
238,Oude IJsselstreek,39576.5,39607.5,484000.0,180.0,0.0007832931158642123
239,Ouder-Amstel,13280.0,13350.0,316000.0,80.0,0.005271084337349397
240,Oudewater,9898.5,9986.5,240000.0,50.0,0.008890235894327423
241,Overbetuwe,46749.0,46917.5,616000.0,310.0,0.0036043551733726926
242,Papendrecht,32152.5,32218.0,447000.0,220.0,0.002037166627789441
243,Peel en Maas,43381.0,43382.0,290000.0,310.0,2.305156635393375e-05
244,Pekela,12692.0,12659.5,336000.0,170.0,-0.002560668137409392
245,Pijnacker-Nootdorp,51137.0,51548.5,541000.0,450.0,0.008047010970530144
